,surname,forename,gender,id,balance,age,start,profession,online,single num,weight_num,null,single cat,weight_cat
507,Pretzel,Callie,F,CU_3290130,71.03,61.384,07-02-18,,0,1.0,1,,A,A
508,Gezalyan,Yunus ,M,CU_8309782,224.09,56.74,03-08-18,Senior Editor,0,1.0,1,,A,A
509,Reif,Caiden ,M,CU_8930326,129.43,20.961,06-13-18,Office Assistant II,0,1.0,1,,,A
510,Ekhoff,Ismail ,M,CU_1604632,227.42,,09-07-18,Senior Sales Associate,1,1.0,1,,,A
511,Cambia,Ethel ,F,CU_8963097,101.05,58.027,11-15-18,Data Coordiator,0,,2,,,C
512,Dejoseph,Anas ,M,CU_5071907,171.65,46.068,12-19-18,Assistant Professor,0,1.0,1,,A,A
513,Mezza,Ollie ,M,CU_7859236,151.85,36.61,10-11-18,Senior Sales Associate,0,1.0,1,,A,A
514,Ghazvini,Ann ,F,CU_4949028,139.49,56.885,08-28-18,Senior Sales Associate,1,1.0,1,,A,A
515,Fujikawa,Adyan ,M,CU_6827043,445.86,35.43,04-13-18,Junior Executive,1,1.0,1,,,A
516,Hernanadez,Yasir ,M,CU_9049127,685.13,56.24,11-12-18,Senior Sales Associate,0,1.0,1,,A,A
517,Sturtevant,Conrad,M,CU_1950758,300.48,38.207,09-22-18,Senior Sales Associate,0,1.0,1,,A,A
518,Gadsen,Kaylee ,F,CU_3535913,145.4,28.742,07-04-18,Senior Sales Associate,0,,1,,A,A
519,Llaneza,Christy,F,CU_7242787,263.71,72.994,03-12-18,Assistant Professor,0,1.0,1,,A,A
520,Klaja,Neal,M,CU_9507886,391.79,47.964,03-21-18,Sales Associate,0,,1,,A,A
521,Hillin,Hiram,M,CU_3953710,507.71,35.983,03-04-18,Senior Editor,0,1.0,1,,A,A
522,Sanes,Shelley,F,CU_8315952,167.28,,03-11-18,Junior Executive,1,1.0,1,,A,A
523,Nosel,Yolanda,F,CU_3603505,241.9,40.409,05-22-18,,0,,1,,A,A
524,Yundt,Jack ,M,CU_9753647,316.51,57.538,02-15-18,Senior Sales Associate,0,1.0,1,,,A
525,Offen,Oren,M,CU_4586549,204.57,58.644,11-15-18,Information Systems Manager,0,1.0,1,,,A
526,Gunsolus,Rodrigo ,M,CU_8803382,141.74,29.061,12-08-18,Help Desk Operator,0,1.0,1,,A,A
527,Agel,Noe,M,CU_6298683,149.07,78.896,03-30-18,Senior Editor,0,1.0,1,,A,A
528,Lehmberg,Yahya ,M,CU_9937980,160.05,32.986,07-30-18,Office Assistant II,0,1.0,1,,,A
529,Heitkamp,Kim,F,CU_1692731,156.56,26.856,10-07-18,,0,1.0,1,,A,A
530,Demarzio,Sheila ,F,CU_7334976,142.47,55.636,04-19-18,Senior Editor,0,1.0,1,,A,A
531,Sandmeier,Rickie,M,CU_6743106,357.44,63.614,01-16-18,Senior Editor,1,1.0,1,,,A
532,Slavinski,Cory,M,CU_5256262,29.54,69.72,04-27-18,Office Assistant II,0,1.0,1,,A,A
533,Gianopoulos,Karyn,F,CU_1975366,149.64,48.164,08-08-18,Office Assistant II,0,1.0,1,,A,A
534,Gores,Ian ,M,CU_9675848,211.99,,06-10-18,Senior Editor,0,1.0,1,,A,A
535,Turco,Jewell,M,CU_1649737,269.68,,03-02-18,Assistant Professor,0,1.0,1,,,A
536,Sprung,Monroe,M,CU_4465734,164.98,42.588,03-22-18,Help Desk Operator,0,1.0,1,,,A
537,Delanoy,Xavier ,M,CU_5198922,160.55,32.009,12-13-18,Senior Editor,0,1.0,1,,A,A
538,Wolanin,Caden ,M,CU_6290505,183.04,47.214,11-26-18,Senior Editor,0,,1,,,A
539,Mazurek,Rahma ,F,CU_9847889,244.83,62.187,04-23-18,Senior Sales Associate,0,1.0,1,,A,A
540,Hantz,Courtney,M,CU_1346643,230.81,39.692,07-12-18,,0,1.0,1,,A,A
541,Stvil,Seymour,M,CU_2612309,261.37,40.483,09-06-18,Research Assistant III,0,1.0,1,,A,A
542,Toussant,Caleb ,M,CU_1524822,131.03,38.004,07-27-18,Office Assistant II,0,,1,,A,A
543,Ibdah,Octavio,M,CU_5031004,204.44,58.893,05-06-18,Human Resources Manager,0,1.0,1,,,A
544,Mirelez,Aqsa ,F,CU_6501469,152.02,,09-12-18,Junior Executive,0,1.0,1,,A,A
545,Pellitier,Gracie ,F,CU_1981534,218.61,25.341,11-02-18,Help Desk Operator,1,1.0,1,,A,A
546,Maliska,Hoyt,M,CU_4942944,135.04,,02-19-18,Assistant Professor,1,1.0,1,,A,A
547,Larate,Omer ,M,CU_5428325,130.57,45.129,10-27-18,Office Assistant II,0,1.0,1,,A,A
548,Pingitore,Atticus ,M,CU_1164394,121.03,36.006,08-02-18,Senior Sales Associate,0,1.0,1,,,A
549,Angiolelli,Caelan ,M,CU_8305770,768.48,59.961,10-20-18,Junior Executive,0,1.0,1,,,A
550,Donnellon,Jerry,M,CU_2763888,133.94,,01-23-18,Assistant Professor,0,1.0,1,,A,A
551,Tenuta,Izaak ,M,CU_7013489,35.46,44.427,01-10-18,,0,1.0,1,,,A
552,Guderian,Keiran ,M,CU_1907827,174.15,50.673,03-22-18,,0,1.0,1,,A,A
553,Hodgman,Rocky ,M,CU_4576372,261.72,56.469,08-28-18,Senior Sales Associate,1,1.0,1,,,A
554,Zeidler,Jon,M,CU_9284724,163.18,57.162,07-23-18,Help Desk Operator,0,1.0,1,,,A
555,Caivano,Efrain,M,CU_8619127,111.28,72.142,06-07-18,Senior Editor,0,1.0,1,,,A
556,Prator,Kory,M,CU_1352825,124.77,55.528,04-06-18,Senior Editor,0,1.0,1,,A,A
557,Chopton,Steven ,M,CU_3724411,193.28,50.632,07-12-18,Help Desk Operator,1,1.0,1,,A,A
558,Gourd,Damion,M,CU_5911680,361.38,58.422,07-17-18,Office Assistant II,0,1.0,1,,,A
559,Weisbrod,Franklin,M,CU_8639616,128.66,74.649,07-07-18,Office Assistant II,0,1.0,1,,,A
560,Trichel,Naomi ,F,CU_3429509,164.13,37.622,07-04-18,Senior Sales Associate,0,1.0,1,,,A
561,Chamnanphony,Joshua,M,CU_5233800,129.55,32.573,02-27-18,Human Resources Assistant IV,0,1.0,1,,A,A
562,Bulgin,Aleksandra ,F,CU_7580809,130.66,32.7,09-28-18,Senior Sales Associate,0,1.0,1,,,A
563,Karo,Loraine,F,CU_9766025,124.68,64.125,11-16-18,Sales Associate,0,1.0,1,,A,A
564,Shells,Dixie,F,CU_6360201,123.96,61.485,02-28-18,,1,,1,,A,A
565,Friedrichs,Leopoldo,M,CU_9026700,134.66,26.835,04-21-18,Senior Sales Associate,0,1.0,1,,A,A
566,Ouchi,Emir ,M,CU_2442383,408.06,52.482,02-04-18,Help Desk Operator,0,,1,,A,A
567,Raleigh,Alice ,F,CU_2682003,100.98,58.892,11-23-18,Research Assistant III,1,1.0,1,,,A
568,Catacun,Yasmin ,F,CU_3482773,154.13,54.847,12-05-18,VP Product Management,0,1.0,1,,A,A
569,Everet,Myles ,M,CU_2059416,93.43,41.718,10-12-18,Senior Sales Associate,0,1.0,1,,,A
570,Hajdas,Charmaine,F,CU_2315417,167.72,70.193,01-25-18,Help Desk Operator,1,1.0,1,,A,A
571,Klinker,Modesto,M,CU_5784734,61.8,31.783,09-22-18,,0,1.0,1,,,A
572,Wala,Kelly ,F,CU_8524960,90.03,,05-03-18,,0,1.0,1,,A,A
573,Derocher,Kraig,M,CU_7337121,183.1,39.596,01-15-18,,0,1.0,1,,,A
574,Mulkey,Ricardo,M,CU_5063840,234.88,36.826,07-13-18,Human Resources Manager,0,,1,,A,A
575,Keville,Yaqub ,M,CU_7750820,194.73,56.964,08-18-18,Senior Sales Associate,1,1.0,1,,,A
576,Altvater,Harriet ,F,CU_7937189,473.93,56.695,09-10-18,Data Coordiator,1,1.0,1,,A,A
577,Daquilante,Dolcie ,F,CU_5041320,304.9,37.528,07-01-18,Office Assistant II,1,,1,,A,A
578,Kinikini,Kendrick,M,CU_5174441,139.59,45.021,01-16-18,Senior Sales Associate,0,,1,,A,A
579,Klopp,Caroline,F,CU_8760494,160.22,69.446,04-24-18,Senior Editor,0,1.0,1,,A,A
580,Quirarte,David ,M,CU_2354350,636.13,,07-24-18,Senior Editor,0,,1,,,A
581,Nixon,Ebony,F,CU_3529904,233.9,57.595,08-03-18,Director of Sales,1,1.0,1,,A,A
582,Yoest,Julia ,F,CU_3613874,118.72,64.357,11-03-18,Senior Sales Associate,0,1.0,1,,,A
583,Kraichely,John,M,CU_6806709,264.66,49.227,08-26-18,,0,1.0,1,,A,A
584,Twombly,Darius ,M,CU_2270390,97.8,38.293,01-13-18,,0,,1,,,A
585,Limehouse,Shayne,M,CU_4082869,118.58,57.585,12-30-18,Sales Associate,0,,1,,,A
586,Backhaus,Leona ,F,CU_6026424,166.35,53.703,05-30-18,Senior Sales Associate,0,1.0,1,,A,A
587,Mcalphin,Lynn ,F,CU_9829557,190.76,59.44,04-24-18,Sales Associate,0,1.0,1,,,A
588,Monhollen,Phoenix ,F,CU_4998329,686.32,59.805,02-17-18,VP Product Management,0,1.0,1,,A,A
589,Mcmenamin,Shae ,M,CU_7488700,161.44,,11-08-18,Senior Editor,0,1.0,1,,A,A
590,Larish,Edmund ,M,CU_6763709,157.1,68.522,10-01-18,Help Desk Operator,1,,1,,A,A
591,Choma,Grayson ,M,CU_3517633,140.45,,01-08-18,Senior Editor,0,,1,,A,A
592,Sain,Roxanne ,F,CU_4760772,414.85,37.522,07-12-18,Senior Editor,0,1.0,1,,A,A
593,Wahlberg,Velma,F,CU_5106884,121.37,,08-01-18,Senior Sales Associate,0,1.0,1,,,A
594,Vier,Dorsey,M,CU_7969993,140.51,60.178,02-22-18,Office Assistant II,0,,1,,A,A
595,Casteneda,Laverne,M,CU_1799369,538.53,28.457,08-15-18,Senior Editor,1,1.0,1,,A,A
596,Herklotz,Ashley,M,CU_4615371,145.47,55.652,01-03-18,Sales Associate,0,1.0,1,,,A
597,Heymann,Bianca,F,CU_7597260,205.35,,06-18-18,Help Desk Operator,0,1.0,1,,A,A
598,Rodrick,Denise,F,CU_1471698,150.79,58.959,07-21-18,Office Assistant II,0,,1,,,A
599,Wanberg,Rodrigo,M,CU_5889236,97.39,55.977,06-05-18,Senior Editor,0,1.0,1,,,A
600,Glauberman,Aida,F,CU_8516823,405.27,64.948,03-21-18,Research Assistant III,0,1.0,1,,A,A
601,Salam,Christian ,M,CU_2297048,133.42,24.52,02-25-18,Senior Editor,0,,1,,,A
602,Valdes,Brenton,M,CU_6079705,153.56,35.299,08-20-18,Senior Editor,0,,1,,A,A
603,Pete,Brogan ,M,CU_7529689,125.83,,08-05-18,Research Assistant III,1,1.0,1,,A,A
604,Dilox,Nelda,F,CU_4775129,174.91,50.417,04-13-18,Senior Sales Associate,1,1.0,1,,,A
605,Glotzbecker,Willy,M,CU_9342171,119.81,56.531,08-11-18,Office Assistant II,0,1.0,1,,A,A
606,Geyer,Borys ,M,CU_3337438,156.36,37.374,06-08-18,Senior Sales Associate,0,1.0,1,,A,A
607,Vinegar,Alfred,M,CU_6675683,183.13,,04-19-18,Senior Editor,0,1.0,1,,,A
608,Masullo,Carroll,M,CU_9952485,151.17,,02-04-18,Information Systems Manager,0,1.0,1,,A,A
609,Mcinnish,Gabriel ,M,CU_1096933,125.35,,11-24-18,Office Assistant II,0,1.0,1,,A,A
610,Meyerott,Minh,M,CU_9360615,107.14,22.124,03-31-18,Office Assistant II,0,1.0,1,,A,A
611,Delore,Sheena,F,CU_2237674,133.95,38.646,08-12-18,Data Coordiator,0,,1,,,A
612,Petzold,Aryan ,M,CU_1719531,88.35,57.265,10-18-18,Help Desk Operator,0,1.0,1,,A,A
613,Isby,River ,F,CU_4074732,218.92,55.357,08-15-18,Senior Sales Associate,0,,1,,A,A
614,Drowne,Elden,M,CU_3165419,135.37,61.017,04-23-18,Senior Editor,0,1.0,1,,A,A
615,Rivas,Paula ,F,CU_8611061,201.29,,09-27-18,Senior Sales Associate,0,1.0,1,,,A
616,Benkert,Millicent ,F,CU_6624509,192.36,53.967,08-23-18,Senior Sales Associate,0,,1,,A,A
617,Tomory,Isabelle ,F,CU_8512768,119.69,54.091,07-16-18,Senior Sales Associate,0,1.0,1,,A,A
618,Minardi,Ciara ,F,CU_4814081,339.09,50.597,12-21-18,Human Resources Manager,0,1.0,1,,A,A
619,Dominski,Ehsan ,M,CU_3331330,169.82,34.53,07-06-18,Senior Editor,0,1.0,1,,,A
620,Reinsmith,Alfreda,F,CU_3654914,128.97,55.496,03-01-18,Information Systems Manager,0,1.0,1,,,A
621,Voner,Nathanael ,M,CU_8701186,88.86,33.722,10-19-18,,1,1.0,1,,A,A
622,Dergurahian,Khalid ,M,CU_6919427,142.24,40.99,11-01-18,Office Assistant II,0,1.0,1,,A,A
623,Keitzer,Marina ,F,CU_3695883,142.74,62.057,12-10-18,Help Desk Operator,0,1.0,1,,A,A
624,Lantgen,Keneth,M,CU_9690383,134.29,62.145,07-16-18,,0,1.0,1,,A,A
625,Skay,Holly ,F,CU_5016848,312.37,45.009,09-02-18,Help Desk Operator,0,,1,,A,A
626,Hempe,Britney,F,CU_4955414,142.53,50.473,03-01-18,Office Assistant II,0,1.0,1,,,A
627,Jae,Bartlomiej ,M,CU_6970647,175.81,47.351,01-28-18,Office Assistant II,0,1.0,1,,,A
628,Beston,Usman ,M,CU_2561305,83.65,38.07,06-27-18,Senior Sales Associate,1,,1,,,A
629,Ronning,Jannie,F,CU_7724314,273.61,59.454,10-31-18,Office Assistant II,0,1.0,1,,,A
630,Ailiff,Millard,M,CU_5319963,96.08,,10-12-18,Senior Sales Associate,0,1.0,1,,A,A
631,Sinkler,Valentina ,F,CU_2567452,137.35,45.671,02-04-18,Senior Sales Associate,0,1.0,1,,A,A
632,Rily,Long,M,CU_4252956,102.1,,03-15-18,Senior Sales Associate,0,1.0,1,,A,A
633,Fregozo,Hollie,F,CU_7632160,68.47,64.686,02-14-18,Senior Editor,0,1.0,1,,A,A
634,Cornman,Kasey,M,CU_9577761,122.74,35.225,12-17-18,Office Assistant II,0,1.0,1,,A,A
635,Olszewski,Leonard ,M,CU_4607266,110.84,54.69,07-27-18,Senior Editor,0,1.0,1,,A,A
636,Sedlachek,Bryan,M,CU_7605539,179.39,55.884,06-18-18,Senior Sales Associate,0,1.0,1,,A,A
637,Tynon,Caroline ,F,CU_9143584,298.92,42.941,12-23-18,Senior Editor,0,1.0,1,,A,A
638,Seawright,Lennie ,M,CU_5950759,139.8,56.794,10-18-18,Senior Editor,1,1.0,1,,,A
639,Vartanian,Nojus ,M,CU_1852714,98.39,,09-11-18,Senior Sales Associate,1,1.0,1,,,A
640,Sargetakis,Claire ,F,CU_6608171,144.64,34.548,10-26-18,Senior Editor,0,1.0,1,,A,A
641,Pickar,Orson ,M,CU_1043761,188.93,39.122,09-04-18,Senior Editor,0,1.0,1,,A,A
642,Demaine,Richard,M,CU_7572786,230.64,41.103,10-05-18,Senior Sales Associate,0,1.0,1,,A,A
643,Bonvillain,Abdullah ,M,CU_1701172,124.54,43.909,08-20-18,Senior Editor,0,,1,,A,A
644,Mazon,Alexis,F,CU_2714936,148.68,,06-06-18,Senior Editor,0,,2,,A,C
645,Corban,Niamh ,F,CU_7460155,102.53,64.796,02-17-18,Assistant Professor,0,1.0,1,,A,A
646,Daulerio,Abram,M,CU_6098237,160.24,62.204,03-21-18,Office Assistant II,0,1.0,1,,A,A
647,Vile,Allan,M,CU_3988798,131.27,52.756,07-17-18,Office Assistant II,0,1.0,1,,,A
648,Mckeirnan,Rosalyn,F,CU_4580675,138.42,61.363,10-17-18,Office Assistant II,0,1.0,1,,A,A
649,Tsistinas,Ieuan ,M,CU_2612550,162.65,57.999,07-18-18,Senior Sales Associate,0,,1,,A,A
650,Cantin,Bruno,M,CU_8394055,147.1,41.811,01-23-18,VP Product Management,0,1.0,1,,A,A
651,Graciani,Hunter ,M,CU_2184523,197.46,,08-02-18,VP Product Management,0,1.0,1,,,A
652,Coday,Glen,M,CU_7478605,143.96,50.413,04-28-18,Assistant Professor,0,1.0,1,,,A
653,Norvell,Nathanael,M,CU_2260303,182.74,,11-10-18,Senior Editor,0,1.0,1,,A,A
654,Hevrin,Neva,F,CU_7400784,381.08,59.437,11-29-18,Senior Sales Associate,0,1.0,1,,A,A
655,Navarrete,Skylar ,F,CU_7816527,135.57,60.32,08-23-18,Director of Sales,0,1.0,1,,A,A
656,Hemani,Nicky,M,CU_3355988,156.48,51.681,05-07-18,Human Resources Assistant IV,0,1.0,1,,,A
657,Blevans,Riya ,F,CU_8803668,32.56,30.953,01-06-18,Senior Sales Associate,0,1.0,1,,A,A
658,Bernard,Damien,M,CU_7804246,214.44,40.88,07-25-18,Senior Editor,0,1.0,1,,A,A
659,Mayoka,Twila,F,CU_4797784,183.91,39.93,10-05-18,Human Resources Assistant IV,0,1.0,1,,A,A
660,Whary,Felipe,M,CU_6407516,131.71,35.746,05-26-18,Human Resources Assistant IV,0,1.0,1,,A,A
661,Surminec,Reyes,M,CU_3611998,173.35,36.109,02-27-18,Help Desk Operator,0,1.0,1,,A,A
662,Plakke,Malik ,M,CU_6141280,196.19,58.437,05-20-18,Human Resources Assistant IV,0,1.0,1,,,A
663,Matkowski,Beau,M,CU_8000867,154.02,,01-06-18,Human Resources Manager,0,1.0,1,,A,A
664,Romjue,Ashlee,F,CU_6280550,464.76,48.638,05-16-18,Senior Sales Associate,1,1.0,1,,,A
665,Breslin,Declan ,M,CU_7957863,385.21,,05-16-18,Analyst Programmer,1,1.0,1,,A,A
666,Steinlicht,Reuben,M,CU_5717352,138.12,36.612,11-10-18,Senior Sales Associate,0,1.0,1,,,A
667,Spinuzzi,Isaac,M,CU_9471338,146.03,40.599,02-03-18,Senior Editor,0,1.0,1,,,A
668,Kruckeberg,Izabella ,F,CU_6227306,101.98,53.408,07-01-18,,0,1.0,1,,,A
669,Dipietrantoni,Jo,F,CU_7177582,118.1,28.538,01-18-18,Sales Associate,1,,1,,A,A
670,Degooyer,Gerald,M,CU_1903982,466.9,39.357,05-16-18,Sales Associate,0,1.0,1,,A,A
671,Haaf,Mary ,F,CU_2516337,360.77,22.818,08-01-18,Senior Sales Associate,0,1.0,1,,,A
672,Pniewski,Brody ,M,CU_4404594,163.4,33.374,09-24-18,Assistant Professor,0,1.0,1,,A,A
673,Krohn,Lillie-Rose ,F,CU_5494131,97.87,37.914,07-30-18,Human Resources Manager,0,,1,,A,A
674,Bloomquist,Hasnain ,M,CU_9321842,151.36,55.45,10-19-18,Director of Sales,0,1.0,1,,,A
675,Sprandel,Maurice,M,CU_2850165,146.95,39.295,08-28-18,,1,1.0,1,,A,A
676,Coote,Amelia,F,CU_9397622,139.19,32.086,08-29-18,Sales Associate,0,,1,,A,A
677,Scribellito,Zakariyya ,M,CU_9172343,137.81,59.252,05-17-18,Office Assistant II,0,1.0,1,,A,A
678,Watters,Cain ,M,CU_7961972,223.01,52.277,10-18-18,Senior Sales Associate,0,,1,,,A
679,Silman,Donny,M,CU_2545017,201.56,57.898,12-02-18,Senior Sales Associate,1,1.0,1,,A,A
680,Fischl,Lewis ,M,CU_6372722,127.38,43.463,08-02-18,Research Assistant III,0,1.0,1,,A,A
681,Kaszton,Ines,F,CU_4130172,122.76,53.467,03-05-18,Sales Associate,0,1.0,1,,A,B
682,Kosinski,Bethan ,F,CU_9831806,194.66,61.044,01-08-18,Office Assistant II,0,1.0,1,,A,A
683,Buske,Maxwell ,M,CU_2430336,138.15,30.338,05-25-18,Senior Editor,0,1.0,1,,A,A
684,Litzau,Jarvis,M,CU_6122882,143.54,58.307,07-27-18,VP Product Management,0,,1,,,A
685,Schuffert,Sophia ,F,CU_7966084,309.21,30.1,10-04-18,Senior Editor,0,1.0,1,,,A
686,Rhymes,Major,M,CU_1965451,355.62,55.734,08-17-18,Senior Editor,0,1.0,1,,,A
687,Ravenscraft,Tricia,F,CU_4009356,296.11,58.95,06-13-18,Senior Sales Associate,1,1.0,1,,A,A
688,Mcdonough,Norah ,F,CU_1768845,192.45,30.786,06-10-18,Sales Associate,0,,1,,A,A
689,Digrazia,Raymond,M,CU_4511120,100.96,43.967,04-14-18,,0,1.0,1,,A,A
690,Hascall,Ana ,F,CU_4017553,156.79,59.833,08-30-18,VP Product Management,0,1.0,1,,,A
691,Crewe,Merrill,M,CU_6870417,229.89,54.933,09-16-18,Assistant Professor,0,,1,,A,A
692,Krewson,Augustus,M,CU_7085459,67.69,39.72,12-16-18,Junior Executive,0,1.0,1,,A,A
693,Slayden,Tayla ,F,CU_4033940,167.2,57.673,12-18-18,VP Product Management,0,1.0,1,,A,A
694,Danks,Aden ,M,CU_6030739,165.16,52.174,08-06-18,,0,,1,,A,A
695,Wolslegel,Blake,M,CU_4261268,213.76,22.876,03-10-18,Senior Editor,0,1.0,1,,A,A
696,Godlove,Kacie ,F,CU_9756051,60.0,55.609,08-01-18,Senior Editor,1,1.0,1,,A,A
697,Valdivia,Sasha,F,CU_7224729,127.07,52.267,09-22-18,Office Assistant II,0,1.0,1,,A,A
698,Petrulis,Pearl,F,CU_9971097,133.46,35.624,12-09-18,,1,1.0,1,,A,A
699,Rojos,Eugene,M,CU_8410523,258.55,35.451,09-05-18,,0,1.0,1,,,A
700,Rotermund,Denny,M,CU_1944993,203.15,51.568,09-04-18,Help Desk Operator,0,1.0,1,,,A
701,Manalang,Franklin ,M,CU_7732641,118.47,59.213,09-05-18,Sales Associate,1,1.0,1,,A,A
702,Fyffe,Enrique,M,CU_7624099,141.84,35.154,03-28-18,Senior Sales Associate,0,1.0,1,,A,A
703,Bassin,Maura,F,CU_1936801,92.36,56.868,10-24-18,Senior Sales Associate,0,1.0,1,,A,A
704,Hiscock,Beth ,F,CU_5299622,131.3,42.188,12-27-18,,0,1.0,1,,,A
705,Krzewinski,Raymond ,M,CU_7597481,873.97,39.276,12-05-18,Sales Associate,0,1.0,1,,,A
706,Stammer,Roisin ,F,CU_9614762,164.45,49.89,06-22-18,Office Assistant II,0,1.0,1,,,A
707,Pontiff,Keaton ,M,CU_1179054,140.75,51.88,02-19-18,Senior Sales Associate,0,,1,,A,A
708,Fitzhugh,Rhett,M,CU_8793519,125.59,,09-13-18,Office Assistant II,0,1.0,1,,A,A
709,Bandel,Ethan,M,CU_1508785,149.3,42.939,04-01-18,,0,1.0,1,,,A
710,Samide,Isabel,F,CU_7292340,171.27,,09-20-18,Sales Associate,0,1.0,1,,,A
711,Popke,Dane,M,CU_1945012,150.33,26.635,10-01-18,Senior Sales Associate,0,,1,,,A
712,Rinkel,Son,M,CU_2411958,329.4,,05-01-18,Senior Editor,0,1.0,1,,,A
713,Prinz,Veronica ,F,CU_8129974,154.31,30.05,06-20-18,Help Desk Operator,0,1.0,1,,A,A
714,Standaert,Kasey ,F,CU_3507638,130.39,60.722,05-10-18,Help Desk Operator,0,,1,,,A
715,Forbach,Clementine ,F,CU_1527225,126.12,,09-24-18,Office Assistant II,0,,1,,A,A
716,Josef,Jana ,F,CU_5496250,52.09,56.376,06-29-18,Senior Sales Associate,0,1.0,1,,A,A
717,Knolton,Cornell,M,CU_5612982,233.13,42.252,01-27-18,Human Resources Assistant IV,1,,1,,A,A
718,Brucato,Shayaan ,M,CU_2379196,134.48,32.558,05-07-18,Senior Editor,0,1.0,1,,,A
719,Bacolor,Lana ,F,CU_1795519,193.83,53.136,11-26-18,Office Assistant II,0,1.0,1,,A,A
720,Arizola,Lenny,M,CU_7851456,272.5,64.686,10-21-18,Help Desk Operator,0,1.0,1,,A,A
721,Poteet,Evalyn ,F,CU_2264515,173.7,,01-20-18,Research Assistant III,0,1.0,1,,A,A
722,Tetz,Alma,F,CU_4199878,93.86,29.355,11-30-18,Director of Sales,0,,1,,,A
723,Traver,Patricia,M,CU_7511497,166.22,31.629,11-27-18,,1,1.0,1,,A,A
724,Wahoske,Lewie ,M,CU_1355210,141.84,25.446,04-29-18,Help Desk Operator,0,1.0,2,,,C
725,Gastellum,Taylan ,M,CU_9999817,154.06,35.032,04-02-18,VP Product Management,0,,1,,A,A
726,Brightman,Virginia,F,CU_4763084,129.35,49.826,12-16-18,,0,1.0,1,,,A
727,Bonnema,Dawid ,M,CU_9063884,420.19,68.899,06-27-18,,0,1.0,1,,A,A
728,Schopflin,Kaleb ,M,CU_5690831,62.24,,05-28-18,Office Assistant II,1,1.0,1,,,A
729,Pepez,Adela,F,CU_4441551,180.67,72.031,01-17-18,Senior Sales Associate,0,,1,,A,A
730,Airington,Asma ,F,CU_3255761,211.38,56.798,09-01-18,,0,1.0,1,,,A
731,Kanda,Sachin ,M,CU_1521104,122.89,,07-02-18,Human Resources Manager,0,1.0,1,,,A
732,Lofthus,Rayhan ,M,CU_5467603,153.44,37.357,11-04-18,Human Resources Assistant IV,0,1.0,1,,A,A
733,Gierlach,Dana ,F,CU_3806672,147.82,45.964,10-31-18,VP Product Management,1,1.0,1,,,A
734,Abrev,Imelda,F,CU_8760789,179.25,26.285,11-12-18,Help Desk Operator,0,1.0,1,,,A
735,Capel,Rosalind,F,CU_2422228,134.65,21.54,04-01-18,Junior Executive,1,1.0,1,,,A
736,Barus,Rebekah,F,CU_6315484,206.3,26.594,11-09-18,Human Resources Assistant IV,0,,1,,A,A
737,Oshima,Nichole,F,CU_2125279,136.74,57.217,08-23-18,Research Assistant III,0,1.0,1,,A,A
738,Adomaitis,Fergus ,M,CU_6886881,545.34,64.764,10-18-18,Data Coordiator,0,1.0,1,,A,A
739,Betz,Ryan ,M,CU_9731553,331.24,35.474,05-08-18,Senior Editor,0,1.0,1,,A,A
740,Primas,Margarito,M,CU_7409123,219.56,,02-24-18,Senior Sales Associate,0,1.0,1,,,A
741,Formby,Robbie ,M,CU_5158373,111.38,69.726,10-03-18,,0,1.0,1,,,A
742,Hickam,Gracie-Mae ,F,CU_5223912,162.01,54.214,05-30-18,Help Desk Operator,0,1.0,1,,,A
743,Suckow,Fredrick,M,CU_2909673,117.85,,10-31-18,,0,1.0,1,,A,A
744,Ziola,Terri,F,CU_1523180,167.34,29.752,04-24-18,Senior Sales Associate,0,,1,,A,A
745,Witman,Ella-May ,F,CU_6397421,124.23,39.762,01-10-18,Senior Editor,0,1.0,1,,A,A
746,Leysath,Mya ,F,CU_9289198,234.78,42.045,05-04-18,Office Assistant II,0,1.0,1,,,A
747,Him,Xander ,M,CU_2811372,139.57,,07-14-18,Senior Sales Associate,0,,1,,,A
748,Westra,Jewel,F,CU_7337457,125.53,31.297,04-23-18,Senior Editor,0,,1,,,A
749,Stell,Tasha,F,CU_1924596,83.01,54.702,03-24-18,Help Desk Operator,0,1.0,1,,,A
750,Malinski,Lorena,F,CU_2905588,154.12,29.294,09-20-18,Office Assistant II,0,1.0,1,,,A
751,Cutsinger,Krzysztof ,M,CU_2063863,119.46,36.098,07-11-18,Research Assistant III,0,1.0,1,,A,A
752,Fasheh,Saul,M,CU_6548984,136.93,,12-03-18,Office Assistant II,0,1.0,1,,,A
753,Mcswain,Branden,M,CU_2233850,400.75,,02-22-18,Senior Editor,0,1.0,1,,A,A
754,Boyken,Charles,M,CU_8363514,133.77,49.168,10-13-18,Senior Sales Associate,0,1.0,1,,A,A
755,Arnot,Emmie ,F,CU_3526139,137.12,20.501,08-03-18,Director of Sales,0,,1,,A,A
756,Shipley,Freeman,M,CU_4658685,178.31,55.685,06-05-18,Office Assistant II,0,1.0,1,,,A
757,Greely,Carlos,M,CU_4199935,125.56,39.415,11-27-18,Office Assistant II,0,,1,,A,A
758,Grassano,Lacey-May ,F,CU_6407679,148.18,56.709,04-16-18,Director of Sales,0,1.0,1,,,A
759,Sparacino,Lara,F,CU_4343296,152.73,52.964,10-07-18,Senior Editor,0,,1,,,A
760,Veney,Josef,M,CU_5694978,146.54,55.228,07-19-18,,0,1.0,1,,A,A
